1,226
2,226
3,226.8
4,218.6
5,223.2
6,225.5
7,223.1
8,224
9,220.7
10,220.7
11,217.6
12,216.9
13,220.7
14,227.3
15,231.8
16,230.6
17,235
18,230
19,236.1
20,233.9
21,235.5
22,235.2
23,233.5
24,233.7
25,229.4
26,230.3
27,243.1
28,244.5
29,251.6
30,250.5
31,246.8
32,244.3
33,240.6
34,240.7
35,247.8
36,247.1
37,248.1
38,247
39,250.8
40,252.4
41,251
42,248.6
43,247.9
44,251.3
45,248.8
46,248
47,238.2
48,239.8
49,242.3
50,239.2
51,241
52,240
53,239.1
54,239.5
55,240.1
56,244
57,242.3
58,242.1
59,239.9
60,242.9
61,242.5
62,245.3
63,244.4
64,244.4
65,241.5
66,240.1
67,239.7
68,240
69,239.8
70,240.7
71,239.8
72,240.2
73,239.8
74,238.4
75,234
76,234
77,234
78,231.9
79,233.2
80,240.9
81,236.4
82,236.9
83,239.7
84,241.8
85,242.2
86,243.7
87,245.3
88,247.3
89,246.3
90,246.5
91,248.5
92,248.5
93,249
94,248
95,252.3
96,251.5
97,251
98,255.5
99,256.5
100,256.8
101,256.4
102,262
103,265.4
104,264.2
105,263.8
106,270.6
107,270.6
108,273.8
109,270.3
110,274.6
111,275.1
112,272.9
113,274.8
114,280
115,276.1
116,280
117,282.4
118,277.8
119,276.6
120,279
121,280
122,278
123,280.3
124,281.4
125,282.3
126,283.5
127,283.9
128,281.5
129,281.8
130,275.9
131,277.5
132,282.5
133,281.4
134,283.5
135,288.3
136,290.3
137,287.9
138,290.5
139,290.3
140,290.8
141,287.5
142,292.8
143,296.3
144,302.2
145,299.2
146,298.8
147,304.9
148,305.3
149,303.4
150,305.2
151,305.8
152,301.4
153,296.5
154,290.1
155,291.5
156,286.5
157,282.7
158,285.1
159,289
160,297.1
161,303.8
162,298.8
163,292
164,301.9
165,297.9
166,300.6
167,298.8
168,300.5
169,311
170,310.1
171,314.8
172,314.8
173,316.8
174,315.2
175,319.2
176,315.1
177,322.9
178,325
179,329
180,335.5
181,329.2
182,336.3
183,339.5
184,337.1
185,333
186,345.8
187,351.8
188,375.8
189,369
190,380
191,369
192,380.4
193,376.7
194,373.8
195,395.5
196,397.3
197,414.8
198,426
199,402
200,384
201,385
202,372
203,385.8
204,413
205,401.5
206,395
207,402.9
208,394.3
209,386
210,380.5
211,393
212,392
213,385
214,395
215,391.8
216,375
217,374
218,377.6
219,382
220,378.5
221,372.8
222,381
223,384.3
224,395
225,389.5
226,389.5
227,393.3
228,387.2
229,390
230,386
231,390.4
232,389.9
233,387.8
234,396.2
235,393.2
236,392
237,395.3
238,393.8
239,411.2
240,411.7
241,415.7
242,428.8
243,431.2
244,426.4
245,433.8
246,430.4
247,431.2
248,445.5
249,446.3
250,458.8
251,456.8
252,469.5
253,477.8
254,488.5
